name,description,website,cause_area,country,city,programme_types,revenue,employees
Openmind Projects,"Openmind Projects (OMP),[1] in Nong Khai Province, Thailand is a developmental aid organisation focused on helping communities in Thailand, Laos, Cambodia, and Nepal through the creation and management of grass roots projects in the areas of e-learning, education, and environment. The focus of the organisation is using information and communication technologies (ICT) to educate individuals in schools, orphanages, national parks, and villages. Projects rely on volunteers to promote changes in local communities.",www.openmindprojects.org,NA,Thailand,NA,NA,NA,NA
United States Agency for International Development,"The United States Agency for International Development (USAID) is an independent agency of the United States federal government that is primarily responsible for administering civilian foreign aid and development assistance. With a budget of over $27 billion, USAID is one of the largest official aid agencies in the world, and accounts for more than half of all U.S. foreign assistance (which in absolute dollar terms is the highest in the world).",NA,NA,Thailand,NA,NA,NA,NA
International Rescue Committee,"The International Rescue Committee (IRC) is a global humanitarian aid, relief, and development nongovernmental organization.[1] Founded in 1933 at the request of Albert Einstein, the IRC offers emergency aid and long-term assistance to refugees and those displaced by war, persecution or natural disaster. The IRC is currently working in over 40 countries and 28 U.S. cities where it resettles refugees and helps them become self-sufficient.[2] It focuses mainly on health, education, economic wellbeing, power, and safety. The IRC’s funding comes mostly from the federal government and from private donors. Last year the IRC received $681 million, with $454 million coming from the federal government and $228 million coming from private donors.[3] According to Charity Navigator, the IRC is in the top 1% of the most trustworthy charities, with more than 90₵ of every $1 going to programs and services that directly affect their clientele.[4] The current President of the International Rescue Committee is former British Foreign Secretary David Miliband(2013–present).[5]",www.rescue.org,NA,Thailand,NA,NA,NA,NA
Pearl S. Buck,"Pearl Sydenstricker Buck (June 26, 1892 – March 6, 1973; also known by her Chinese name Sai Zhenzhu; Chinese: 賽珍珠) was an American writer and novelist. As the daughter of missionaries, Buck spent most of her life before 1934 in Zhenjiang, China. Her novel The Good Earth was the best-selling fiction book in the United States in 1931 and 1932 and won the Pulitzer Prize in 1932. In 1938, she was awarded the Nobel Prize in Literature ""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"".[1] She was the first American woman to win the Nobel Prize for Literature.",NA,NA,Thailand,NA,NA,NA,NA
International Red Cross and Red Crescent Movement,"The International Red Cross and Red Crescent Movement is an international humanitarian movement with approximately 97 million volunteers, members and staff worldwide[2] which was founded to protect human life and health, to ensure respect for all human beings, and to prevent and alleviate human suffering.",www.icrc.org,Humanitarianism,Thailand,Worldwide,Aid,NA,NA
Camillian social center in Rayong,"The Camillian social center in Rayong is a charitable institution in Thailand, established in 1995 by Saint Camillus Foundation and an Italian priest, Father Giovanni Contarin.",NA,NA,Thailand,NA,NA,NA,NA
Thai Red Cross Society,"The Thai Red Cross Society (Thai: สภากาชาดไทย; RTGS: Sapha Ka Chat Thai) is a major humanitarian organisation in Thailand, providing services as part of the International Red Cross and Red Crescent Movement.",Redcross.or.th,NA,Thailand,NA,NA,NA,NA
Camillian Hospital,"Camillian Hospital (called also ""San Camillo Hospital"") - small private hospital in Bangkok (Thailand), founded by catholic missionaries - camillians in 1956 (earlier in 1952 camillians established another ""San Camillo Hospital"" in Ratchaburi Province). The hospital is located in Watthana district and has general practice and special care facilities.",NA,NA,Thailand,NA,NA,NA,NA
ANESVAD Foundation,"ANESVAD Foundation - non-profit and non-governmental organization, which supports health and social development projects in Asia, Latin America and Africa. Established in 1968 in Bilbao, Spain.",NA,NA,Thailand,NA,NA,NA,NA
The Karen Hilltribes Trust,"The Karen Hilltribes Trust (KHT) is a charity based in the United Kingdom ""dedicated to working with the Karen people of Northern Thailand to help them build a better future for themselves"".[1] The trust is a registered charity (no. 1093548) with key aims of improving health, increasing access to education and securing better livelihoods for the Karen.[2]",www.karenhilltribes.org.uk,Karen people,Thailand,NA,"


Improve health
Access to education
Secure livelihoods


",£0.4 million,NA
Plant A Tree Today Foundation,"The Plant A Tree Today Foundation (PATT) is a non-governmental environmental organization with primary operations in Thailand and Indonesia. Established in 2005, PATT attempts to raise environmental awareness and foster better practices in less developed nations around the world, planting trees as a means to combat deforestation and climate change.",Pattfoundation.org,"Environment, Climate Change, Ending poverty",Thailand,Global,Donations and Grants,NA,NA
Amnesty International Thailand,"Amnesty International Thailand (also known as Amnesty Thailand and AI Thailand) is a non-governmental organisation focused on the protection of human rights in Thailand and worldwide with more than 1,000 members across Thailand.[4] Amnesty Thailand is one of more than 50 sections that make up Amnesty International worldwide.[5]",amnesty.or.th,NA,Thailand,NA,NA,NA,NA
Médecins Sans Frontières,"Médecins Sans Frontières (MSF) (pronounced [medsɛ̃ sɑ̃ fʁɔ̃tjɛʁ] ( listen)), also known in English as Doctors Without Borders, is an international humanitarian non-governmental organization (NGO) best known for its projects in war-torn regions and developing countries affected by endemic diseases. In 2015, over 30,000 personnel—mostly local doctors, nurses and other medical professionals, logistical experts, water and sanitation engineers and administrators—provided medical aid in over 70 countries.[1] The vast majority of staff are volunteers. Private donors provide about 90% of the organization's funding, while corporate donations provide the rest, giving MSF an annual budget of approximately US$1.63 billion.[2]",msf.org,NA,Thailand,Worldwide,NA,NA,"36,482"
World Wide Fund for Nature,"The World Wide Fund for Nature (WWF) is an international non-governmental organization founded in 1961, working in the field of the wilderness preservation, and the reduction of human impact on the environment. It was formerly named the World Wildlife Fund, which remains its official name in Canada and the United States. The Living Planet Report is published every two years by WWF since 1998; it is based on a Living Planet Index and ecological footprint calculation.","Panda.org
WorldWildlife.org",NA,Thailand,NA,"


Lobbying
research
consultancy


",€ 654 million (2013),NA
Green Fins,Organisation in South East Asia for preservation of coral reefs by improving diver behavior,http://www.greenfins.net/,Environmentalism within the marine tourism sector,Thailand,"


 Indonesia
 Malaysia
 Philippines
 Thailand
 Vietnam
 Maldives
 Palau


",NA,NA,NA
Freeland Foundation,The Freeland Foundation (rendered FREELAND Foundation by the foundation) is an international NGO headquartered in Bangkok which works in Asia on environmental conservation and on human rights. The organization intends to stop wildlife and human trafficking.,www.freeland.org,"Illegal wildlife trade, human trafficking",Thailand,Southeast Asia,NA,NA,NA
Camillians,"The Camillians or Clerics Regular, Ministers to the Sick (Latin: Clerci Regulari Ministeri Infirmaribus) are a Roman Catholic religious order, founded in 1582 by St. Camillus de Lellis (1550-1614). A large red cross was chosen by the founder as the distinguishing badge for the members of the Order to wear upon their black cassocks, which was later adopted as the international symbol of medical care. The founder taught his volunteers that the ""hospital was a house of God, a garden where the voices of the sick were music from heaven"".[this quote needs a citation] They use the postnominal initials of M.I.",NA,NA,Thailand,NA,NA,NA,NA
World Vision International,"World Vision International is an Evangelical[5][6] Christian humanitarian aid, development, and advocacy organization. It prefers to present itself as interdenominational and also employs staff from non-evangelical Christian denominations.[7] It was founded in 1950 by Robert Pierce as a service organization to meet the emergency needs of missionaries.[6] In 1975 development work was added to World Vision's objectives.[6] It is active in more than 90 countries with a total revenue including grants, product and foreign donations of $2.79 billion (2011).",www.wvi.org,"Well being of all people, especially children.",Thailand,97 countries,"Transformational Development through emergency relief, community development and policy and advocacy",US$2.79 billion (2011),"44,500 (2011)[4]"
Youth With A Mission,"Youth With A Mission (YWAM, generally pronounced /ˈwaɪwæm/) is an evangelical interdenominational, non-profit Christian, missionary organization. Founded by Loren Cunningham and his wife Darlene Cunningham in 1960, YWAM's stated purpose is to ""know God and to make Him known"".[1][2]",ywam.org,NA,Thailand,180 Countries,NA,NA,NA
VIA (Volunteers in Asia),"Tracing its roots to 1963, VIA (formerly Volunteers In Asia and Trans-Pacific Exchange) is an independent, non-sectarian, 501(c)(3) non-profit organization dedicated to increasing understanding between the U.S. and Asia.[1] Based in the San Francisco Bay Area, VIA provides two kinds of programs. VIA's Asia Programs offer Americans the chance to live and volunteer in Asia,[2] while VIA's Stanford Programs enable East Asian university students the opportunity to participate in multi-week themed programs in the United States.[3]",NA,NA,Thailand,NA,NA,NA,NA
YWCA,"The World Young Women's Christian Association (World YWCA) is a movement working for the empowerment, leadership and rights of women, young women and girls in more than 120 countries. The members and supporters include women from many different faiths, ages, backgrounds, beliefs and cultures. Their common goal is that ""by 2035, 100 million young women and girls will transform power structures to create justice, gender equality and a world without violence and war; leading a sustainable YWCA movement, inclusive of all women"".[1] The World office is currently based in Geneva, Switzerland.","
www.worldywca.org
www.ywca.org (US)",NA,Thailand,NA,NA,NA,NA
Human Development Foundation,"The Human Development Foundation (HDF), also referred to as the Mercy Centre, is a non-profit and non-denominational organization in Bangkok, Thailand. It was established by Roman Catholic Redemptorist priest Father Joe Maier[1] with Sister Maria Chantavaradom in 1975.[2]",NA,NA,Thailand,NA,NA,NA,NA
UNICEF,The United Nations Children's Fund[3] (UNICEF /ˈjuːnɪsɛf/)[4] is a United Nations (UN) programme headquartered in New York City that provides humanitarian and developmental assistance to children and mothers in developing countries. It is a member of the United Nations Development Group.,www.unicef.org,NA,Thailand,NA,NA,"$5,009,557,471[2]",NA
UNICEF,The United Nations Children's Fund[3] (UNICEF /ˈjuːnɪsɛf/)[4] is a United Nations (UN) programme headquartered in New York City that provides humanitarian and developmental assistance to children and mothers in developing countries. It is a member of the United Nations Development Group.,www.unicef.org,NA,Thailand,NA,NA,"$5,009,557,471[2]",NA
Thai Children's Trust,"The Thai Children’s Trust, formerly Pattaya Orphanage Trust, is a registered charitable organization in the United Kingdom (No. 1085407) which supports vulnerable and disadvantaged children in Thailand. It helps fund projects for orphans, refugee children, HIV positive children and children with AIDS, homeless children, tsunami orphans and children and young people with disabilities. The Trust has recently helped support the Teacher Preparation Center, a training school for mobile teacher trainers, in Mae Sot. The TPC trains trainers who work in the Eastern states of Burma/Myanmar, trying to restore and improve educational standards in areas ravaged by years of civil war. The Trust has also found some funding for villageONE, a project combining education and community development which hopes to start work in Mon State, Burma/Myanmar, later this year.",NA,NA,Thailand,NA,NA,NA,NA
Starfish Country Home School Foundation,"The Starfish Country Home School Foundation was registered as a non-profit organization in Thailand in March 2005. The foundation’s principal offices are located outside the Mae Taeng District, about 45 km (27 miles) north of Chiang Mai Province in northern Thailand.",http://www.schsf.org,Education of children from ethnic minorities in Thailand,Thailand,Thailand,NA,NA,100
SOS Children's Villages,"SOS Children's Villages is an independent, non-governmental international development organization which has been working to meet the needs and protect the interests and rights of children since 1949. It was founded by Hermann Gmeiner in Imst, Austria. According to the Financial Times, the 2004 turnover of SOS Children's Villages altogether was US$ 807 million, and it was ranked 33 out of a 100 global NGOs for ""global accountability"".[1] Its international umbrella organisation, SOS-Kinderdorf International, was founded in 1960, after national associations had been established in France, Germany and Italy in addition to the original Austrian association. Over a hundred national associations across the world have since been established.",NA,NA,Thailand,NA,NA,NA,NA
Sarnelli House Thailand,"Sarnelli House Thailand is a charitable institution providing medical help and shelter for children affected by HIV/AIDS. It is in Nong Khai (northeast Thailand). It was founded by the Redemptorist Roman Catholic Father Michael Shea in 1999. Blessed Gennaro Sarnelli was an early Redemptorist monk, who ministered to young people on the streets of Naples, Italy.",NA,NA,Thailand,NA,NA,NA,NA
Joan Evans (charity worker),"Sister Joan Evans, PBVM is a retired Australian religious sister born in 1931 who was based in the Klong Toei slums in Bangkok, Thailand. She is a member of the Western Australian Congregation of Presentation Sisters. Sister Joan is a charity activist, who helps the needy youth and families in the slums of the Thai capital.[1] Each fortnight, Sister Joan's project supports around 100 babies with deliveries of powdered milk.",NA,NA,Thailand,NA,NA,NA,NA
Congregation of the Most Holy Redeemer,"The Congregation of the Most Holy Redeemer (Latin: Congregatio Sanctissimi Redemptoris – C.Ss.R), [1] commonly known as the Redemptorists, is a worldwide congregation of the Catholic Church, dedicated to missionary work and founded by Saint Alphonsus Liguori at Scala, near Amalfi, Italy, for the purpose of labouring among the neglected country people around Naples. Members of the congregation are Catholic priests and consecrated religious brothers and minister in more than 77 countries.",www.cssr.com,NA,Thailand,NA,NA,NA,NA
List of saints named Teresa,Saints named Teresa include:,NA,NA,Thailand,NA,NA,NA,NA
Openmind Projects,"Openmind Projects (OMP),[1] in Nong Khai Province, Thailand is a developmental aid organisation focused on helping communities in Thailand, Laos, Cambodia, and Nepal through the creation and management of grass roots projects in the areas of e-learning, education, and environment. The focus of the organisation is using information and communication technologies (ICT) to educate individuals in schools, orphanages, national parks, and villages. Projects rely on volunteers to promote changes in local communities.",www.openmindprojects.org,NA,Thailand,NA,NA,NA,NA
Mercy Multiplied,"Mercy Multiplied is an international, Christian and charitable organization that offers a six-month residential program for young women aged between 13 and 28 who struggle with various ""life controlling"" issues such as eating disorders, depression, self-harm, abuse issues, and drug and alcohol addictions.[1] The ministry operates as A Girl Called Hope in New Zealand.",www.mercymultiplied.com,NA,Thailand,NA,NA,NA,NA
Mercy International Foundation,Mercy International Foundation is a charitable organization supporting needy children and young people in Thailand. It was established in 1985 by Rob and Jean Dunk with the assistance of their christian church in Brisbane.,NA,NA,Thailand,NA,NA,NA,NA
Isara,"Isara Charity Foundation is an international charity organization with projects based out of Nong Khai, Thailand. Isara's projects are primarily focused on education, but also extend to safety and environmental awareness.",Isara.org,"Education, Safety and Environmental Issues",Thailand,"Thailand, Nepal, India","Teaching, Community Development",NA,NA
Foundation For Children,Foundation For Children (FFC) - non-profit and non-governmental organization helping children in Thailand. Founded in 1978 and based in Bangkok.,NA,NA,Thailand,NA,NA,NA,NA
Dear Burma,"DEAR Burma (Development of Education and Awareness for Refugees from Burma) is a non-profit and non-denominational school for Burmese migrant workers living and working in and around Bangkok, Thailand and located in downtown Bangkok. It was established by Burmese activist Myint Wai[1] from the Thai Action Committee for Democracy in Burma.[2]",NA,NA,Thailand,NA,NA,NA,NA
ECPAT,"ECPAT (End Child Prostitution, Child Pornography and Trafficking of Children for Sexual Purposes) is a non-governmental organisation and a global network of civil society organisations exclusively dedicated to ending the commercial sexual exploitation of children (CSEC). It focuses on ending four main manifestations of CSEC: child pornography (child sexual abuse materials), the exploitation of children in prostitution, the trafficking of children for sexual purposes and the sexual exploitation of children in travel and tourism.",www.ecpat.net,NA,Thailand,Global,NA,NA,NA
Development and Education Programme for Daughters and Communities,"The Development and Education Programme for Daughters and Communities (DEPDC) is a non-profit, community-based NGO working in Thailand to prevent child exploitation and prostitution and defend the rights of minors. The DEP, later the DEPDC, was founded in 1988 by Sampop Jantraka,[1] as a response to the practice of selling young children into the sex industry. Women and children of Thai nationality are being increasingly victimized, but additionally and especially vulnerable to this type of exploitation are children of refugee, or ""stateless"", status, who have no citizenship and therefore no access to education, health care or legitimate work opportunities.[citation needed] DEPDC offers free education, vocational training, and full-time accommodation for young girls and boys, and helps combat human trafficking in the Mekong sub-region.[2]",NA,NA,Thailand,NA,NA,NA,NA
Compassion International,"Compassion International is a Christian humanitarian aid child sponsorship organization dedicated to the long-term development of children living in poverty around the world. Compassion International, headquartered in Colorado Springs, Colorado, functions in 25 countries such as Bolivia, Colombia, Mexico, Haiti, and Kenya. The organization provides aid to more than 1,700,000 children. The chairman of the board is Karen Kemps Wesolowski, and Santiago Mellado is the President and CEO.[4]",compassion.com,NA,Thailand,"26 Countries in Africa, Asia, The Caribbean, Central America, North America and South America",NA," US$657,748,746 (2013)[2]",NA
Children's Organization of Southeast Asia (COSA),"The Children’s Organization of Southeast Asia (COSA)[1] was a nonprofit, non-government organization based in northern Thailand that worked to prevent human trafficking in surrounding regions. Established in 2006, COSA operated by developing relationships with outreach communities based on trust, cultural understanding and partnership with vulnerable communities to fight human trafficking at its source. The ultimate goal of this upstream approach is to promote long-term, sustainable social change.[2]",NA,NA,Thailand,NA,NA,NA,NA
Child Workers in Asia,"Child Workers in Asia (CWA) - association of about 70 non-governmental organizations and groups, defending rights of children in the sphere of child labour in 14 countries. Established in 1985 as a support group.[1]",NA,NA,Thailand,NA,NA,NA,NA
Child's Dream Foundation,"Child's Dream Foundation is a charitable not-for-profit organization founded by Daniel Siegfried and Marc Jenni in 2003.[1] The foundation is dedicated to empowering marginalised children, youth and communities in the Mekong Sub-Region of Myanmar, Laos, Thailand, and Cambodia.[2] The primary goals of Child's Dream are to enhance the quality of healthcare, to reduce child mortality, construct educational facilities to provide basic education and higher education, and provide scholarship programs and employment opportunities to families and communities.[3] By addressing health, basic education, and higher education, Child's Dream works to minimize poverty by providing socioeconomic opportunities to help improve the future of each person's life. In order to work in different countries, the organization has legal entities in Switzerland, Thailand, Cambodia, Laos, Myanmar, and Hong Kong.[4]",NA,NA,Thailand,NA,NA,NA,NA
Child Watch Phuket,"The Child Watch Phuket Association is an humanitarian non-profit organization in Thailand, fighting against child abuse and exploitation. Founded and based in Phuket. Organization aims to help child labourers and enslaved child prostitutes to live normal and healthy child life and find the way out from exploitation.[1]",NA,NA,Thailand,NA,NA,NA,NA
Catholic Office for Emergency Relief and Refugees,"Catholic Office for Emergency Relief and Refugees (COERR) is a private non-profit organization, established by the Catholic Bishops Conference of Thailand (CBCT) in 1978.",NA,NA,Thailand,NA,NA,NA,NA
Saint Camillus Foundation,"The Saint Camillus Foundation of Thailand is a charitable organization in Thailand, set up and run by the Camillian monastic order.[1]",NA,NA,Thailand,NA,NA,NA,NA
Camillian social center in Rayong,"The Camillian social center in Rayong is a charitable institution in Thailand, established in 1995 by Saint Camillus Foundation and an Italian priest, Father Giovanni Contarin.",NA,NA,Thailand,NA,NA,NA,NA
Baan Unrak,"Baan Unrak village is a non-profit humanitarian organization that supports children and single mothers in Sangkhla Buri, Kanchanaburi Province, Thailand. It incorporates the Baan Unrak Children’s home, Primary School, and community development projects such as a weaving center where single mothers make handicrafts and earn a fair wage.",NA,NA,Thailand,NA,NA,NA,NA
,"The Bangkok Post is a broadsheet English-language daily newspaper published in Bangkok, Thailand. The first issue was sold on 1 August 1946. It had four pages and cost 1 baht, a considerable amount at the time when a baht was a paper note. It is Thailand's second oldest newspaper. (The first newspaper published in Thailand was The Bangkok Recorder which began publishing in 1844, both in Thai and English.[1])",www.bangkokpost.com,NA,Thailand,NA,NA,NA,NA
Baan Gerda,BaanGerda is a humanitarian non-profit organization that looks after AIDS orphans in Thailand. It is a project of the Bangkok-based Children's Rights Foundation. The small village community cares for over 70 children that were born with HIV and whose parents died of Aids. The organization has no political or religious associations.,NA,NA,Thailand,NA,NA,NA,NA
Anglo-Thai Foundation,"The Anglo-Thai Foundation is UK Registered charity No. 1000093, and makes annual grants to bright schoolchildren and students from the poorest families in Isan, Thailand to ensure they are able to attend school and complete the education provided by the state.",NA,NA,Thailand,NA,NA,NA,NA
The Alliance for Safe Children,"The Alliance for Safe Children (TASC) is a non-profit organization formed in 2002 to address the issue of child injury in the developing world.[1] The founder is Pete Peterson, former United States Ambassador to Vietnam.[2] Michael Linnon is the technical director.[3]",[1],Preventable injury in developing world,Thailand,Asia,"Campaigning, building collaborative networks, education, research",NA,NA
Adventist Development and Relief Agency,"The Adventist Development and Relief Agency International (ADRA or ADRA International) is a humanitarian agency operated by the Seventh-day Adventist Church for the purpose of providing individual and community development and disaster relief. It was founded in 1956, and it is headquartered in Silver Spring, Maryland, United States of America.",www.adra.org,NA,Thailand,134 Countries Worldwide,"Provides individual and community development and disaster relief, including Food Security, Economic Development, Primary Health, Emergency Management, and Basic Education","$173,000,000 (2009)","5,000 (2009)"
Jesuit Refugee Service,"The Jesuit Refugee Service (JRS) is an international Catholic organization that aids refugees, forcibly displaced peoples, and asylum seekers. JRS operates at national and regional levels. Founded in November 1980 as a work of the Society of Jesus, JRS was officially registered on 19 March 2000 in Vatican City as a foundation. The impetus to found JRS came from the then father general of the Jesuits, Pedro Arrupe, who was inspired to action by the plight of Vietnamese boat people.[2] JRS's international headquarters are located in Rome.","JRS
MM",NA,Thailand,NA,NA,NA,NA
Heifer International,"Heifer International (also known as Heifer Project International) is a global nonprofit working to eradicate poverty and hunger through sustainable, values-based holistic community development.[1][2][3][4][5][6][7][8] Heifer distributes animals, along with agricultural and values-based training, to families in need around the world as a means of providing self-sufficiency. Recipients must agree to “pass on the gift” by sharing animal offspring, as well as the skills and knowledge of animal husbandry and agricultural training with other impoverished families.[9][10][11][12][13][14][15]",www.heifer.org,"Agroecology, Sustainable Development",Thailand,Global,NA,NA,NA
Christian Care Foundation for Children with Disabilities,"Christian Care Foundation for Children with Disabilities (CCD) - non-governmental organization in Thailand.[1] Established in 1986 by Christian Outreach for Relief & Development (CORD), UK. Located in Nonthaburi, north of Bangkok.",NA,NA,Thailand,NA,NA,NA,NA
Food and Agriculture Organization,"The Food and Agriculture Organization of the United Nations (FAO; French: Organisation des Nations unies pour l'alimentation et l'agriculture, Italian: Organizzazione delle Nazioni Unite per l'Alimentazione e l'Agricoltura) is a specialised agency of the United Nations that leads international efforts to defeat hunger. Serving both developed and developing countries, FAO acts as a neutral forum where all nations meet as equals to negotiate arguments and debate policy.",FAO.org,NA,Thailand,NA,NA,NA,NA
Food and Agriculture Organization,"The Food and Agriculture Organization of the United Nations (FAO; French: Organisation des Nations unies pour l'alimentation et l'agriculture, Italian: Organizzazione delle Nazioni Unite per l'Alimentazione e l'Agricoltura) is a specialised agency of the United Nations that leads international efforts to defeat hunger. Serving both developed and developing countries, FAO acts as a neutral forum where all nations meet as equals to negotiate arguments and debate policy.",FAO.org,NA,Thailand,NA,NA,NA,NA
Development and Education Programme for Daughters and Communities,"The Development and Education Programme for Daughters and Communities (DEPDC) is a non-profit, community-based NGO working in Thailand to prevent child exploitation and prostitution and defend the rights of minors. The DEP, later the DEPDC, was founded in 1988 by Sampop Jantraka,[1] as a response to the practice of selling young children into the sex industry. Women and children of Thai nationality are being increasingly victimized, but additionally and especially vulnerable to this type of exploitation are children of refugee, or ""stateless"", status, who have no citizenship and therefore no access to education, health care or legitimate work opportunities.[citation needed] DEPDC offers free education, vocational training, and full-time accommodation for young girls and boys, and helps combat human trafficking in the Mekong sub-region.[2]",NA,NA,Thailand,NA,NA,NA,NA
Directorate-General for European Civil Protection and Humanitarian Aid Operations,"The Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO), formerly known as the European Community Humanitarian Aid Office, is the European Commission's department for overseas humanitarian aid and for civil protection. It aims to save and preserve life, prevent and alleviate human suffering and safeguard the integrity and dignity of populations affected by natural disasters and man-made crises.[1]",NA,NA,Thailand,NA,NA,NA,NA
Department for International Development,"The Department for International Development (DFID) is a United Kingdom government department responsible for administering overseas aid. The goal of the department is ""to promote sustainable development and eliminate world poverty"". DFID is headed by the United Kingdom's Secretary of State for International Development. The position has been held, since 9 November 2017, by Penny Mordaunt. In a 2010 report by the Development Assistance Committee (DAC), DFID was described as ""an international development leader in times of global crisis"".[1] The UK aid logo is often used to publicly acknowledge DFID's development programmes are funded by UK taxpayers.",NA,NA,Thailand,NA,NA,NA,NA
Cesvi,"Cesvi (Italian, ""cooperazione e sviluppo"", cooperation and development) - one of the biggest humanitarian organizations in Italy. Founded in 1985 and has about 30 offices all over the world.",NA,NA,Thailand,NA,NA,NA,NA
Caritas Internationalis,"Caritas Internationalis is a confederation of 165[2] Catholic relief, development and social service organisations operating in over 200 countries and territories worldwide.",http://www.caritas.org,"Humanitarian aid, International development and social service",Thailand,Worldwide,NA,NA,NA
Catholic Office for Emergency Relief and Refugees,"Catholic Office for Emergency Relief and Refugees (COERR) is a private non-profit organization, established by the Catholic Bishops Conference of Thailand (CBCT) in 1978.",NA,NA,Thailand,NA,NA,NA,NA
Andaman Discoveries,"Andaman Discoveries (AD) is a tourism social enterprise in Kuraburi, Phang Nga Province, Thailand. It is the continuation of North Andaman Tsunami Relief (NATR), a non-profit organization based in Thailand that provides assistance to tsunami-affected villages in the north Andaman Sea region. Andaman Discoveries has assumed the work of NATR, fostering long-term social, economic, and environmental sustainability and generating viable economic opportunities via training and marketing.",NA,NA,Thailand,NA,NA,NA,NA
CARE (relief agency),"CARE (Cooperative for Assistance and Relief Everywhere, formerly Cooperative for American Remittances to Europe[1]) is a major international humanitarian agency delivering emergency relief and long-term international development projects. Founded in 1945, CARE is nonsectarian, impartial, and non-governmental. It is one of the largest and oldest humanitarian aid organizations focused on fighting global poverty. In 2016, CARE reported working in 94 countries, supporting 962 poverty-fighting projects and humanitarian aid projects, and reaching over 80 million people and 256 million people indirectly.[2]",http://www.care-international.org/,NA,Thailand,NA,NA,NA,NA
American Refugee Committee,"The American Refugee Committee (ARC) is an international nonprofit, nonsectarian organization that has provided humanitarian assistance and training to millions of beneficiaries over the last 30 years.",Official Website,NA,Thailand,NA,NA,NA,NA
